Heading,Company Name,Location,Products & Annual Capacity,Country,Authorised Capital,Foreign Equity (%)
Agriculture,Organic Vegetables & Fruits,Kathmandu,Organic Vegetables Fruits 40MT,UK,3.2,100
Agriculture,Agriculture And Floriculture Farming,Bhaktapur,Organic Vegetables Fruits Flowers 190MT,China,11.4,100
Agriculture,Organic Vegetable Farming,Lalitpur,Organic Vegetable 200MT,USA,9.5,100
Agriculture,Organic Vegetables,Kathmandu,Organic Vegetables 210MT,S. Korea,9.5,100
Agriculture,Floriculture,Kathmandu,Floriculture 10MT,Canada,4,100
Agriculture,Organic Vegetables & Flowers,Kathmandu,Organic Vegetables 120MT Flowers 20MT,China,13.5,100
Agriculture,Organic Agriculture Farming,Kathmandu,Organic Vegetables 180MT,Argentina,8,100
Agriculture,Organic Vegetables,Kathmandu,Organic Vegetables 200MT,China,10,100
Agriculture,Organic Vegetables,Tanahu,Organic Vegetables 55MT,S. Korea,4,100
Agriculture,Organic Vegetables,Kathmandu,Organic Vegetables 300MT,Germany,15,100
Agriculture,Organic Agriculture Farming,Kathmandu,Organic Vegetables 190MT,USA,9.5,100
Agriculture,Organic Vegetables,Kathmandu,Organic Vegetables 250MT,China,30,100
Agriculture,Vegetables Farming,Kathmandu,Vegetables 188MT,China,30,100
Agriculture,Organic Vegetables,Kathmandu,Organic Vegetables 220MT,Canada,20,100
Agriculture,Organic Farming,Jhapa,Organic Vegetables 50MT,Malaysia,10,50
Agriculture,Organic Agricultural Farming,Kathmandu,Organic Vegetables 180MT,China,25,100
Agriculture,Organic Agriculture Farming IndUStry,Kathmandu,Organic Vegetables 200MT,Japan,15,100
Agriculture,Organic Agriculute Farming IndUStry,Kathmandu,Organic Vegetables 300MT,China,35,100
Agriculture,Organic Vegetables,Kathmandu,Organic Vegetables 210MT,Italy,10,100
Agriculture,Organic Vegetables,Lalitpur,Organice Vegetables 250MT,China,15,100
Agriculture,Vegetables And Flowers,Kathmandu,Vegetables And Flowers 130MT,China,40,75
Agriculture,Organic Vegetables And Flowers,Kathmandu,Organic Vegetables  Flowers 180 20MT,China,30,100
Agriculture,Organic Agriculture Farming,Kathmandu,Organic Vegetables 300 MT,China,15,100
Agriculture,Organic Vegetables & Fruits,Nuwakot,Organic Vegetables & Fruits 50 MT,Denmark,10,50
Agriculture,Organic Agricultural Farming IndUStry,Kathmandu,Organic Vegetables 150 MT Fruits 50 MT,USA,25,100
Agriculture,Organic Agriculture Farming IndUStry,Kathmandu,Organic Agriculture 220MT,China,30,100
Agriculture,Organic Farming Project,Lalitpur,Organic Vegetables 120MT,China,30,100
Agriculture,Coffee Plantation Project,Lalitpur,Coffee Beans 35MT,China,30,100
Agriculture,Natural Flower & Herbal Pvt. Ltd.,Makawanpur,Herbal,UAE,300,49
Agriculture,Shivashakti Bioplantic Pvt. Ltd.,Bara,Teak Sapling 1000000nos.,India,5.5,100
Agriculture,Organic Agriculture Farming IndUStry,Lalitpur,Organic Agriculture Farming 220MT,China,30,100
Agriculture,Organic Farming Project,Kathmandu,Organic Vegetables 120MT,Slovenia,30,100
Agriculture,Organic Vegetables And Flowers,Kathmandu,Organic Vegetables And Flowers 180MT,Turkey,30,100
Agriculture,Organic Agricultural Farming IndUStry,Kathmandu,Organic Vegetables 300MT,S. Korea,15,100
Agriculture,Organic Vegetables,Kathmandu,Organic Vegetables 220MT,Denmark,30,100
Agriculture,Organic Agricultural Farming IndUStry,Lalitpur,Organic Vegetables 220MT,China,35,100
Agriculture,Organic Vegetables,Kathmandu,Organic Vegetables 250MT,UKraine,30,100
Agriculture,Vegetable Farming Project,Kathmandu,Vegetables 150MT,Italy,25,100
Agriculture,Organic Agricultural Farming IndUStry,Chitwan,Organic Vegetables 220MT,Switzerland,20,100
Agriculture,Organic Vegetables And Fruits,Kathmandu,Organic Vegetables 115MT,China,30,100
Agriculture,Organic Farming,Kathmandu,Organic Vegetables  Fruits 120MT,China,30,100
Agriculture,Organic Vegetables,Kathmandu,Organic Vegetables 240MT,China,30,100
Agriculture,Natural Flower & Herbal Pvt. Ltd.,Makawanpur,Herbal Taxane Resin 100MT Becatta Power 5MT,UAE,300,49
Construction,Kathmandu Construction Road,Kathmandu,Construction Road Bridge 400000000 ,China,100.0,100.00
Energy Based,Solar Electricity,Kathmandu,Solar Electricity 10MW,Spain,1980,90
Energy Based,Himalayan Infrastrastructure,Makawanpur,Electricity,Hong Kong,2300,14
Energy Based,Electricity Product,Sindhupalchowk,Hydropower Project,China,180,5
Energy Based,Bajra Energy Ventures Pvt. Ltd.,Kaski,Electricity Product 24.8MW,India,100,25
Energy Based,Madi Power Pvt. Ltd.,Kaski,Hydro Electricity 19.2MW,China,3082.2,49
Energy Based,Myadi Hydropower Ltd.,Lamjung,Electricity Generation 175.25KWh,Canada,1976,31.22
Manufacturing,Pellet And Mash Feed Production,Morang,Pellet Mash Feed 10000MT,India,49.4,50
Manufacturing,Plain Pan Masala Gutkha Sweet Supari,Parsa,Pan Masala Gutkha  Sweet Supari Khaini 150m,India,45,100
Manufacturing,Aluminium Utensils And Pressure Cooker,Lalitpur,Aluminium Utensils  Cooker 10000nos.,India,12.4,50
Manufacturing,Readymade Garments,Kathmandu,Readymade 52200 Pices,India,2.5,100
Manufacturing,Wigs Manufactruing Reconditioning And Ex,Kathmandu,Wigs Production  Reconditioning Extensi 1000,S. Korea,45,75
Manufacturing,Plastic Products Manufacturing,Kathmandu,Injection Molded Blow Pet Bottle 300MT,China,36,100
Manufacturing,Solar Systems Design Manu. Assembly,Lalitpur,Solar Pv Systems For Home Appl. 500sets.,Japan,10,49
Manufacturing,Motor Control Panels,Kathmandu,Motor Control Panels 2100sets.,India,49,33
Manufacturing,Solar Pv System For Home Appliance & Lig,Lalitpur,Solar Pv System For Home Appliance 500 Sets.,China,20,100
Manufacturing,Poultry Feed & Feed Supplement,Chitwan,Poultry Feed 33000MT,India,245,51
Manufacturing,Recycling Polyethylene Tereptha,Kaski,R-Pet Flakes 600MT,Switzerland,30,95
Manufacturing,Toilet Soap And Shampo,Lalitpur,Toilet Soap 300MT  Shampoo 60MT,China,10,100
Manufacturing,Gutkha Supari And Surti,Rautahat,Gutkha Sweet Supari Chewing Tobacco 50MT,India,10,100
Manufacturing,Readymade Garments,Kathmandu,Pant Shirt Jacket Short Trousers 5000pcs.,Netherland,7,100
Manufacturing,Pashu Badhshala,Banke,Burralo Meat SaUSAges  Bone 500MT,China,42.9,90
Manufacturing,Solar Charge Controller Ups Vold Batty,Kathmandu,Solar Charge Ups Guard Batter 2000pcs.,India,10,50
Manufacturing,Kashal Milk Ind. Pvt. Ltd.,Parsa,Milk Product,Netherland,9.6,47
Manufacturing,Kansai Paints Pvt. Ltd.,Bara,Paints,India,410,35
Manufacturing,Hotel Himalayan Pvt. Ltd.,Kaski,Hotel,Japan,300,25
Manufacturing,Alternative Nepal Pvt. Ltd.,Bhaktapur,Single Piston Engine,UK,10,50
Manufacturing,Bungamati Ita Tyal Udhyog P.L.,Lalitpur,Break,China,15,33
Manufacturing,Biocomp Nepal Pvt. Ltd.,Lalitpur,Organic Fertilizer,Netherland,40,19
Manufacturing,Tofu,Lalitpur,Tofu 156MT,China,10,100
Manufacturing,Readymade Garments,Kathmandu,Readymade Garments 200000 Pcs,China,30,100
Manufacturing,Stationery Items,Kathmandu,Starionery Items 50MT,Switzerland,7.5,66.67
Manufacturing,Readymade Garments,Lalitpur,Shirts Trousers  Tracksuit Kurta Jacket100,USA,10,100
Manufacturing,Polyurthane Sandwich Panel,Kathmandu,Polyurthane Sandwich Panel 320MT,China,12.5,40
Manufacturing,Readymade Garments,Kathmandu,Shirts Pullover Jacket Skirt Trouser 3000,China,30,100
Manufacturing,Medicine Manufacturing,Bhaktapur,Tablests And Capsules Powders Ointments 1.2,India,533.8,55
Manufacturing,Solar Pv Systems,Kathmandu,Solar Lighting 3000nos.,China,10,100
Manufacturing,Feed Premix,Bara,Feed Premix 2400MT,India,29.7,100
Manufacturing,Slaughter House & Meat Processing,Bara,Frozen Buffalo Meat 1602MT,China,60,100
Manufacturing,Mandala House Pvt. Ltd.,Kathmandu,Readymade Garment 60000 Pcs.,Netherland,10,50
Manufacturing,Sarwattam Cement Pvt. Ltd.,Nawalaparasi,Cement 300,Hong Kong,4000,45
Manufacturing,Pashupanchi Badhshala,Morang,Frozen Buffalo Poultry Mutton Meat 16020 30,India,180,100
Manufacturing,Chewing Tobacco,Morang,Chewing Tobacco 3000MT,India,150,100
Manufacturing,Refined Vegetable Oil,Lalitpur,Mustard Oil Sunflower Soyabean Oil 750MT,China,46,80
